arm,feature_group,duration_tag,duration_s,runs,seeds,train_images,epochs,image_presentations,common_mAP50_95_mean,common_mAP50_95_std,common_mAP50_95_min,own_mAP50_95_mean
A,G3,0p512,0.512,7,0;1;7;21;42;84;2026,3600,40,144000,0.9511520844252257,0.006524206674966866,0.9416709066203797,0.9511520844252257
A,G3,0p256,0.256,7,0;1;7;21;42;84;2026,3600,40,144000,0.9422364071076886,0.016102226091065926,0.9139831296039299,0.9422364071076886
A,G3,0p128,0.128,7,0;1;7;21;42;84;2026,3600,40,144000,0.9460360056179785,0.0049062009672207665,0.9385004776797852,0.9460360056179785
A,G7,0p512,0.512,7,0;1;7;21;42;84;2026,3600,40,144000,0.9684788732586628,0.03711428491301805,0.8855124977076672,0.9684788732586628
A,G7,0p256,0.256,7,0;1;7;21;42;84;2026,3600,40,144000,0.9687381271392086,0.01897631880046815,0.9279535186026118,0.9687381271392086
A,G7,0p128,0.128,7,0;1;7;21;42;84;2026,3600,40,144000,0.9741689863067647,0.008828991432008059,0.9599963661253653,0.9741689863067647
B,G3,0p512,0.512,7,0;1;7;21;42;84;2026,7200,20,144000,0.9629185437179538,0.006419378039205765,0.9531858996877908,0.965168395435678
B,G3,0p256,0.256,7,0;1;7;21;42;84;2026,14400,10,144000,0.9669423092805649,0.004843478539223329,0.9572540503164527,0.9660908493569009
B,G3,0p128,0.128,7,0;1;7;21;42;84;2026,28800,5,144000,0.95369439023456,0.010015536526679374,0.9377445533739623,0.9482729644388533
B,G7,0p512,0.512,7,0;1;7;21;42;84;2026,7200,20,144000,0.9698706082706438,0.03743442267257426,0.8861863195336372,0.9711006647275713
B,G7,0p256,0.256,7,0;1;7;21;42;84;2026,14400,10,144000,0.9766625066556508,0.01405999365077286,0.9542248787325187,0.977291580647624
B,G7,0p128,0.128,7,0;1;7;21;42;84;2026,28800,5,144000,0.9775527285936843,0.014037261338688654,0.949540557584791,0.9737135205503152
C,G7,0p128,0.128,3,0;1;42,28800,40,1152000,0.9457644828815779,0.04634243305389895,0.8931212432576402,0.9441541214627621
